Trial-ID,Status,Iteration,alpha,dropout,k,lr,Objective,epochs,train_acc,train_loss,val_acc,val_acc_uncertainty,val_loss,val_loss_uncertainty
1,INTERMEDIATE,1,0.16877369217057647,0.4764385785556503,14,0.003326555852323305,0.8019219898247598,550.8,0.8837931034482758,0.4342171549797058,0.8019219898247598,0.00576596947427932,0.6763138175010681,0.02153211086988449
1,COMPLETED,1,0.16877369217057647,0.4764385785556503,14,0.003326555852323305,0.8019219898247598,550.8,0.8837931034482758,0.4342171549797058,0.8019219898247598,0.00576596947427932,0.6763138175010681,0.02153211086988449
2,INTERMEDIATE,1,0.13861135568483113,0.591173794779242,7,0.005262552652201825,0.8055963821368005,471.7,0.8679310344827587,0.49721425771713257,0.8055963821368005,0.004918032786885185,0.6942117810249329,0.02252255231142053
2,COMPLETED,1,0.13861135568483113,0.591173794779242,7,0.005262552652201825,0.8055963821368005,471.7,0.8679310344827587,0.49721425771713257,0.8055963821368005,0.004918032786885185,0.6942117810249329,0.02252255231142053
3,INTERMEDIATE,1,0.14885882823183613,0.1532207861011597,5,0.013382217840950823,0.8036743923120409,291.7,0.9041379310344828,0.3652527630329132,0.8036743923120409,0.006953080836630932,0.6788054704666138,0.025170688331127122
3,COMPLETED,1,0.14885882823183613,0.1532207861011597,5,0.013382217840950823,0.8036743923120409,291.7,0.9041379310344828,0.3652527630329132,0.8036743923120409,0.006953080836630932,0.6788054704666138,0.025170688331127122
4,INTERMEDIATE,1,0.10719857989738156,0.24226112625851595,6,0.004319824511036967,0.8050876201243641,463.3,0.8722413793103447,0.4776218831539154,0.8050876201243641,0.008762012436404842,0.7008358240127563,0.03299261033534995
4,COMPLETED,1,0.10719857989738156,0.24226112625851595,6,0.004319824511036967,0.8050876201243641,463.3,0.8722413793103447,0.4776218831539154,0.8050876201243641,0.008762012436404842,0.7008358240127563,0.03299261033534995
5,INTERMEDIATE,1,0.11707385372780572,0.3278960161013529,7,0.002981908691182914,0.8031656302996044,554.0,0.8699999999999999,0.48605337738990784,0.8031656302996044,0.006671848501978439,0.7012472152709961,0.02371067255735404
5,COMPLETED,1,0.11707385372780572,0.3278960161013529,7,0.002981908691182914,0.8031656302996044,554.0,0.8699999999999999,0.48605337738990784,0.8031656302996044,0.006671848501978439,0.7012472152709961,0.02371067255735404
6,INTERMEDIATE,1,0.09255726882885815,0.33380862977126247,7,0.037185514591516214,0.8057094403617864,346.1,0.8767241379310343,0.45983773469924927,0.8057094403617864,0.006671848501978661,0.7047944664955139,0.028749261796474412
6,COMPLETED,1,0.09255726882885815,0.33380862977126247,7,0.037185514591516214,0.8057094403617864,346.1,0.8767241379310343,0.45983773469924927,0.8057094403617864,0.006671848501978661,0.7047944664955139,0.028749261796474412
7,INTERMEDIATE,1,0.10541282542442149,0.2746663391102967,7,0.027803299587835752,0.8042396834369698,287.3,0.8808620689655171,0.43674954771995544,0.8042396834369698,0.007409553420011261,0.6944339871406555,0.02898483425378795
7,COMPLETED,1,0.10541282542442149,0.2746663391102967,7,0.027803299587835752,0.8042396834369698,287.3,0.8808620689655171,0.43674954771995544,0.8042396834369698,0.007409553420011261,0.6944339871406555,0.02898483425378795
8,INTERMEDIATE,1,0.13662312103851698,0.10115106478943355,11,0.0010692253419886735,0.7972300734878461,762.8,0.8639655172413793,0.49696096777915955,0.7972300734878461,0.005935556811757836,0.7057415843009949,0.024157765507697992
